permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
betty-arnold,people/betty-arnold,person/betty-arnold,https://api.crunchbase.com/v3.1/people/betty-arnold,Betty,Arnold,Male,,,organizations/,organization/,,,,,,,,,,1598863761,1598863761
bill-arnold-6cb1,people/bill-arnold-6cb1,person/bill-arnold-6cb1,https://api.crunchbase.com/v3.1/people/bill-arnold-6cb1,Bill,Arnold,Male,,,organizations/,organization/,,,,,,,,,,1598863761,1598863761
dan-einzig,people/dan-einzig,person/dan-einzig,https://api.crunchbase.com/v3.1/people/dan-einzig,Dan,Einzig,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/dan-einzig-10627a/,,,,1598863634,1598863634
alan-kurose,people/alan-kurose,person/alan-kurose,https://api.crunchbase.com/v3.1/people/alan-kurose,Alan,Kurose,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/hslwd3pfbc8xhylzws2g,,,,,,,,1598863482,1598863482
radek-czyrko,people/radek-czyrko,person/radek-czyrko,https://api.crunchbase.com/v3.1/people/radek-czyrko,Radosław,Czyrko,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/znwb0qaedt4v5zoptrp3,https://thcpathfinder.com/,,,http://www.linkedin.com/in/radoslawczyrko,Warsaw,Mazowieckie,Poland,1217473887,1598863454
sander-de-bree,people/sander-de-bree,person/sander-de-bree,https://api.crunchbase.com/v3.1/people/sander-de-bree,Sander,de Bree,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/hoehu3ukjoh9vzrolpxn,,,,https://www.linkedin.com/in/sanderdebree/,,,,1598863117,1598863117
saurabh-satija,people/saurabh-satija,person/saurabh-satija,https://api.crunchbase.com/v3.1/people/saurabh-satija,Saurabh,Satija,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/miu7waatvinxtwh8clox,https://www.cureassist.co,,https://twitter.com/saurabhsatija,https://www.linkedin.com/in/saurabhatija,Tallinn,Harjumaa,Estonia,1476534759,1598862815
mohit-chobey,people/mohit-chobey,person/mohit-chobey,https://api.crunchbase.com/v3.1/people/mohit-chobey,Mohit,Chobey,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/nienb0vbe3zy3yohpqw6,,,,https://www.linkedin.com/in/mohitchobey/,,,,1598862706,1598862706
liran-roffman,people/liran-roffman,person/liran-roffman,https://api.crunchbase.com/v3.1/people/liran-roffman,Liran,Roffman,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/liran-roffman-9b392662/,,,,1598862524,1598862524
or-shoshani,people/or-shoshani,person/or-shoshani,https://api.crunchbase.com/v3.1/people/or-shoshani,Or,Shoshani,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/or-shoshani/,,,,1598862461,1598862461
stav-sitnikov,people/stav-sitnikov,person/stav-sitnikov,https://api.crunchbase.com/v3.1/people/stav-sitnikov,Stav,Sitnikov,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/v1469739638/n9mtem33iyy1evtx9kuc.png,,,,,,,,1469739650,1598861815
ross-murray-jones,people/ross-murray-jones,person/ross-murray-jones,https://api.crunchbase.com/v3.1/people/ross-murray-jones,Ross,Murray-Jones,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/g2bdjk5xxtaf5o51wusw,https://grit.capital/,,https://twitter.com/rossmurrayjones,https://www.linkedin.com/in/rossmurrayjones/,London,England,United Kingdom,1498230134,1598861305
david-schaible,people/david-schaible,person/david-schaible,https://api.crunchbase.com/v3.1/people/david-schaible,David,Schaible,Male,,,organizations/,organization/,,,,,,,,,,1598861170,1598861170
gaurav-jain-1aad,people/gaurav-jain-1aad,person/gaurav-jain-1aad,https://api.crunchbase.com/v3.1/people/gaurav-jain-1aad,Gaurav,Jain,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/za7smtriorsk8ukc6ved,,,,https://www.linkedin.com/in/gauraviitr/,,,,1598860556,1598860556
hussan-ahmad-ks,people/hussan-ahmad-ks,person/hussan-ahmad-ks,https://api.crunchbase.com/v3.1/people/hussan-ahmad-ks,Hussan,Ahmad Ks,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/zjutxnb51t3svhh912m4,https://hussanahmadkhan.blogspot.com,https://www.facebook.com/hussanahmadks,https://www.twitter.com/hussanahmadks,https://www.linkedin.com/in/hussanahmadks,Narowal,Punjab,Pakistan,1598860457,1598860457
gaurav-jain-5,people/gaurav-jain-5,person/gaurav-jain-5,https://api.crunchbase.com/v3.1/people/gaurav-jain-5,Gaurav,Jain,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/vucr0pxtlhwppyd8lxwb,,,,https://www.linkedin.com/in/gauraviitr,,,,1468325331,1598860182
woody-hertzog,people/woody-hertzog,person/woody-hertzog,https://api.crunchbase.com/v3.1/people/woody-hertzog,Woody,Hertzog,Male,,,organizations/,organization/,,,https://www.wormwoodseo.com/,,,,,,,1598859880,1598859880
iretimipo-kukoyi,people/iretimipo-kukoyi,person/iretimipo-kukoyi,https://api.crunchbase.com/v3.1/people/iretimipo-kukoyi,Iretimipo,Kukoyi,Male,,,organizations/,organization/,,,,,,,,,,1598859716,1598859716
